M_CD,UP_TIME,POWER,TEMP,ERR_CD
"1000",0,948,250,"0"
"1000",1,945,250,"0"
"1000",2,944,250,"0"
"1000",3,943,250,"0"
"1000",4,940,250,"0"
"1000",5,938,250,"0"
"1000",6,936,250,"0"
"1000",7,936,250,"0"
"1000",8,935,251,"0"
"1000",9,934,251,"0"
"1000",10,934,251,"0"
"1000",11,934,251,"0"
"1000",12,934,250,"0"
"1000",13,934,250,"0"
"1000",14,933,250,"0"
"1000",15,932,251,"0"
"1000",16,932,250,"0"
"1000",17,931,251,"0"
"1000",18,931,251,"0"
"1000",19,931,250,"0"
"1000",20,931,250,"0"
"1000",21,930,250,"0"
"1000",22,930,250,"0"
"1000",23,929,251,"0"
"1000",24,929,250,"0"
"1000",25,929,250,"0"
"1000",26,929,250,"0"
"1000",27,928,251,"0"
"1000",28,926,251,"0"
"1000",29,924,250,"0"
"1000",30,923,251,"0"
"1000",31,923,251,"0"
"1000",32,923,250,"0"
"1000",33,923,250,"0"
"1000",34,922,251,"0"
"1000",35,922,251,"0"
"1000",36,921,251,"0"
"1000",37,921,251,"0"
"1000",38,921,251,"0"
"1000",39,920,251,"0"
"1000",40,919,250,"0"
"1000",41,918,252,"0"
"1000",42,917,251,"0"
"1000",43,917,251,"0"
"1000",44,915,251,"0"
"1000",45,915,250,"0"
"1000",46,914,251,"0"
"1000",47,913,251,"0"
"1000",48,912,250,"0"
"1000",49,911,251,"0"
"1000",50,911,251,"0"
"1000",51,910,251,"0"
"1000",52,909,251,"0"
"1000",53,909,251,"0"
"1000",54,908,251,"0"
"1000",55,908,251,"0"
"1000",56,907,251,"0"
"1000",57,907,251,"0"
"1000",58,905,251,"0"
"1000",59,904,251,"0"
"1000",60,903,251,"0"
"1000",61,900,251,"0"
"1000",62,899,251,"0"
"1000",63,898,251,"0"
"1000",64,898,251,"0"
"1000",65,895,252,"0"
"1000",66,895,251,"0"
"1000",67,894,252,"0"
"1000",68,893,251,"0"
"1000",69,892,252,"0"
"1000",70,892,251,"0"
"1000",71,890,251,"0"
"1000",72,889,251,"0"
"1000",73,886,252,"0"
"1000",74,884,252,"0"
"1000",75,879,252,"0"
"1000",76,878,252,"0"
"1000",77,872,252,"0"
"1000",78,872,252,"0"
"1000",79,870,252,"0"
"1000",80,870,252,"0"
"1000",81,870,252,"0"
"1000",82,869,252,"0"
"1000",83,867,252,"0"
"1000",84,865,252,"0"
"1001",0,945,250,"0"
"1001",1,941,250,"0"
"1001",2,941,250,"0"
"1001",3,941,250,"0"
"1001",4,940,250,"0"
"1001",5,939,250,"0"
"1001",6,938,250,"0"
"1001",7,937,250,"0"
"1001",8,934,250,"0"
"1001",9,934,250,"0"
"1001",10,930,251,"0"
"1001",11,930,251,"0"
"1001",12,930,251,"0"
"1001",13,930,251,"0"
"1001",14,930,250,"0"
"1001",15,929,251,"0"
"1001",16,929,251,"0"
"1001",17,929,250,"0"
"1001",18,928,251,"0"
"1001",19,928,250,"0"
"1001",20,927,251,"0"
"1001",21,927,251,"0"
"1001",22,927,251,"0"
"1001",23,927,251,"0"
"1001",24,926,251,"0"
"1001",25,926,251,"0"
"1001",26,926,250,"0"
"1001",27,925,251,"0"
"1001",28,925,251,"0"
"1001",29,924,251,"0"
"1001",30,923,251,"0"
"1001",31,922,251,"0"
"1001",32,922,251,"0"
"1001",33,922,251,"0"
"1001",34,921,250,"0"
"1001",35,919,251,"0"
"1001",36,919,251,"0"
"1001",37,918,251,"0"
"1001",38,918,251,"0"
"1001",39,917,251,"0"
"1001",40,916,251,"0"
"1001",41,914,251,"0"
"1001",42,913,251,"0"
"1001",43,913,251,"0"
"1001",44,911,252,"0"
"1001",45,911,252,"0"
"1001",46,908,251,"0"
"1001",47,906,251,"0"
"1001",48,905,251,"0"
"1001",49,905,251,"0"
"1001",50,904,251,"0"
"1001",51,900,252,"0"
"1001",52,900,251,"0"
"1001",53,895,251,"0"
"1001",54,894,251,"0"
"1001",55,891,251,"0"
"1001",56,891,251,"0"
"1001",57,890,252,"0"
"1001",58,890,251,"0"
"1001",59,888,252,"0"
"1001",60,887,252,"0"
"1001",61,886,252,"0"
"1001",62,886,252,"0"
"1001",63,886,251,"0"
"1001",64,882,252,"0"
"1001",65,882,252,"0"
"1001",66,880,252,"0"
"1001",67,880,252,"0"
"1001",68,877,252,"0"
"1001",69,875,252,"0"
"1001",70,872,252,"0"
"1001",71,870,252,"0"
"1001",72,866,252,"0"
"1001",73,864,252,"0"
"1002",0,946,250,"0"
"1002",1,946,250,"0"
"1002",2,945,250,"0"
"1002",3,944,250,"0"
"1002",4,942,250,"0"
"1002",5,941,250,"0"
"1002",6,939,250,"0"
"1002",7,939,250,"0"
"1002",8,938,250,"0"
"1002",9,937,251,"0"
"1002",10,937,251,"0"
"1002",11,937,250,"0"
"1002",12,936,251,"0"
"1002",13,935,251,"0"
"1002",14,934,250,"0"
"1002",15,934,250,"0"
"1002",16,932,251,"0"
"1002",17,931,250,"0"
"1002",18,930,250,"0"
"1002",19,929,250,"0"
"1002",20,929,250,"0"
"1002",21,927,250,"0"
"1002",22,926,250,"0"
"1002",23,924,251,"0"
"1002",24,924,251,"0"
"1002",25,923,251,"0"
"1002",26,923,251,"0"
"1002",27,923,251,"0"
"1002",28,922,251,"0"
"1002",29,921,251,"0"
"1002",30,920,251,"0"
"1002",31,919,251,"0"
"1002",32,917,251,"0"
"1002",33,916,252,"0"
"1002",34,915,251,"0"
"1002",35,914,251,"0"
"1002",36,910,252,"0"
"1002",37,910,251,"0"
"1002",38,910,251,"0"
"1002",39,909,251,"0"
"1002",40,907,252,"0"
"1002",41,906,252,"0"
"1002",42,906,251,"0"
"1002",43,906,251,"0"
"1002",44,904,252,"0"
"1002",45,904,252,"0"
"1002",46,903,251,"0"
"1002",47,903,251,"0"
"1002",48,901,251,"0"
"1002",49,901,251,"0"
"1002",50,900,252,"0"
"1002",51,894,251,"0"
"1002",52,893,251,"0"
"1002",53,892,251,"0"
"1002",54,892,251,"0"
"1002",55,892,251,"0"
"1002",56,890,252,"0"
"1002",57,884,252,"0"
"1002",58,882,252,"0"
"1002",59,882,252,"0"
"1002",60,881,251,"0"
"1002",61,880,252,"0"
"1002",62,880,252,"0"
"1002",63,873,252,"0"
"1002",64,872,252,"0"
"1003",0,947,250,"0"
"1003",1,946,250,"0"
"1003",2,944,251,"0"
"1003",3,941,250,"0"
"1003",4,940,250,"0"
"1003",5,940,250,"0"
"1003",6,940,250,"0"
"1003",7,938,250,"0"
"1003",8,938,250,"0"
"1003",9,937,251,"0"
"1003",10,936,250,"0"
"1003",11,935,251,"0"
"1003",12,935,250,"0"
"1003",13,932,251,"0"
"1003",14,932,250,"0"
"1003",15,931,251,"0"
"1003",16,931,250,"0"
"1003",17,929,251,"0"
"1003",18,928,251,"0"
"1003",19,928,251,"0"
"1003",20,928,251,"0"
"1003",21,926,251,"0"
"1003",22,925,250,"0"
"1003",23,924,251,"0"
"1003",24,924,251,"0"
"1003",25,923,251,"0"
"1003",26,922,250,"0"
"1003",27,921,251,"0"
"1003",28,920,251,"0"
"1003",29,919,251,"0"
"1003",30,919,251,"0"
"1003",31,919,250,"0"
