ID,年齢,性別,キャンペーン反応
1,"25歳以上","男","F"
2,"25歳以下","男","F"
3,"25歳以上","男","F"
4,"25歳以下","女","T"
5,"25歳以上","女","F"
6,"25歳以上","男","F"
7,"25歳以上","男","F"
8,"25歳以下","男","F"
9,"25歳以上","女","T"
10,"25歳以上","男","F"
11,"25歳以上","女","F"
12,"25歳以下","男","F"
13,"25歳以下","男","T"
14,"25歳以上","女","T"
15,"25歳以下","男","F"
16,"25歳以上","女","T"
17,"25歳以下","女","T"
18,"25歳以上","男","T"
19,"25歳以下","男","T"
20,"25歳以下","男","F"
21,"25歳以上","男","F"
22,"25歳以下","女","T"
23,"25歳以下","男","F"
24,"25歳以上","女","F"
25,"25歳以下","男","F"
26,"25歳以下","女","T"
27,"25歳以下","女","T"
28,"25歳以上","男","F"
29,"25歳以下","女","T"
30,"25歳以上","女","F"
31,"25歳以上","女","F"
32,"25歳以下","男","T"
33,"25歳以下","男","F"
34,"25歳以下","男","F"
35,"25歳以下","男","F"
36,"25歳以下","男","F"
37,"25歳以下","男","F"
38,"25歳以上","男","F"
39,"25歳以下","女","T"
40,"25歳以上","男","F"
41,"25歳以下","男","F"
42,"25歳以下","女","T"
43,"25歳以上","女","F"
44,"25歳以下","女","T"
45,"25歳以上","女","T"
46,"25歳以上","男","F"
47,"25歳以上","男","F"
48,"25歳以下","女","T"
49,"25歳以上","男","F"
50,"25歳以上","男","F"
51,"25歳以上","男","T"
52,"25歳以上","女","F"
53,"25歳以上","男","F"
54,"25歳以下","女","T"
55,"25歳以下","男","F"
56,"25歳以下","女","T"
57,"25歳以上","女","F"
58,"25歳以上","男","F"
59,"25歳以上","女","F"
60,"25歳以上","男","F"
61,"25歳以上","女","F"
62,"25歳以上","男","F"
63,"25歳以下","男","F"
64,"25歳以下","女","T"
65,"25歳以上","女","F"
66,"25歳以上","男","F"
67,"25歳以下","女","T"
68,"25歳以上","男","F"
69,"25歳以上","女","F"
70,"25歳以下","男","F"
71,"25歳以下","女","T"
72,"25歳以上","男","F"
73,"25歳以下","女","T"
74,"25歳以上","女","T"
75,"25歳以下","女","T"
76,"25歳以下","男","F"
77,"25歳以上","男","F"
78,"25歳以上","女","F"
79,"25歳以上","男","F"
80,"25歳以上","男","F"
81,"25歳以上","女","F"
82,"25歳以下","男","F"
83,"25歳以下","男","F"
84,"25歳以下","男","F"
85,"25歳以上","女","T"
86,"25歳以上","女","F"
87,"25歳以上","女","F"
88,"25歳以上","女","T"
89,"25歳以下","男","F"
90,"25歳以下","男","F"
91,"25歳以下","男","F"
92,"25歳以上","女","F"
93,"25歳以下","男","T"
94,"25歳以上","男","F"
95,"25歳以下","女","F"
96,"25歳以下","男","F"
97,"25歳以上","女","T"
98,"25歳以下","男","F"
99,"25歳以下","女","T"
100,"25歳以下","女","T"
101,"25歳以下","女","F"
102,"25歳以上","男","F"
103,"25歳以下","男","F"
104,"25歳以下","女","T"
105,"25歳以上","男","F"
106,"25歳以上","男","F"
107,"25歳以上","女","F"
108,"25歳以下","女","T"
109,"25歳以下","女","T"
110,"25歳以下","男","F"
111,"25歳以下","女","F"
112,"25歳以下","女","T"
113,"25歳以上","男","F"
114,"25歳以上","男","F"
115,"25歳以下","女","T"
116,"25歳以上","男","F"
117,"25歳以上","男","F"
118,"25歳以下","男","F"
119,"25歳以上","男","F"
120,"25歳以下","女","F"
121,"25歳以下","女","T"
122,"25歳以上","女","F"
123,"25歳以下","女","T"
