CUSTID,DATE,AMOUNT,NUMPURCHASE
103123,2019-10-27,5500,1
103823,2019-09-25,5250,2
102841,2019-07-07,6640,1
104374,2019-11-04,5340,2
101005,2019-04-17,5385,2
102279,2019-09-10,6364,4
100722,2019-11-18,1980,1
104506,2019-05-29,8000,2
104598,2019-06-09,24300,2
101266,2019-06-21,8184,1
104617,2019-12-31,1860,1
101539,2019-03-02,10470,4
103696,2019-11-05,23920,1
100475,2019-02-02,7100,1
104442,2019-03-08,5346,1
105048,2019-01-12,7266,5
103037,2019-10-20,3840,1
105296,2019-04-07,4186,1
101429,2019-07-08,2160,1
102736,2019-12-04,17310,6
102958,2019-05-28,9296,3
105005,2019-07-24,18570,9
103226,2019-04-14,1280,1
105326,2019-01-08,7918,2
102718,2019-02-20,8900,1
104772,2019-06-09,5340,1
102288,2019-05-05,16843,4
100904,2019-02-20,17540,3
105520,2019-11-24,3600,1
104063,2019-02-19,9600,2
101401,2019-07-08,7680,1
105780,2019-06-18,14900,1
100547,2019-11-25,10839,2
103679,2019-09-04,9540,1
105058,2019-03-03,185575,3
104120,2019-08-31,6292,2
102751,2019-11-12,2280,2
104560,2019-10-24,13769,2
102684,2019-06-20,30172,2
100529,2019-02-09,42280,2
103339,2019-09-15,7600,1
105545,2019-01-25,3996,1
103134,2019-07-09,4770,1
102471,2019-03-26,29140,3
103316,2019-03-16,11880,2
104128,2019-01-03,30115,3
103317,2019-10-06,5769,1
105514,2019-05-12,2820,2
105539,2019-12-02,23100,2
103366,2019-12-28,7000,2
105371,2019-03-10,4320,2
103413,2019-12-23,1980,1
104247,2019-09-18,10130,3
100780,2019-09-30,5250,1
101427,2019-09-25,10715,4
102857,2019-04-12,5001,2
103254,2019-03-22,9600,1
104805,2019-12-17,5215,2
103698,2019-02-27,5333,2
100344,2019-12-04,5862,1
102119,2019-09-10,8900,1
103557,2019-08-27,2432,2
104941,2019-05-02,3781,1
104092,2019-08-17,6051,2
101731,2019-06-16,38040,3
103229,2019-02-26,3249,1
103034,2019-12-02,8501,2
101121,2019-07-30,16020,3
102931,2019-12-28,21630,5
104942,2019-01-12,19080,4
102522,2019-12-16,12158,2
105274,2019-01-23,22449,6
105032,2019-11-04,7075,2
104216,2019-05-08,17600,1
105938,2019-09-22,3280,1
105569,2019-03-09,4050,1
100784,2019-05-25,10960,3
100751,2019-12-01,5088,1
103614,2019-02-24,1140,1
100938,2019-04-23,2680,2
105706,2019-02-16,12142,3
103901,2019-07-08,7440,3
105780,2019-11-10,5272,3
103993,2019-04-17,7980,1
102889,2019-03-30,7302,3
100459,2019-04-29,9914,2
101988,2019-07-03,12180,3
102390,2019-06-28,18900,1
