振動,温度,電力,油塗布,スイッチ,故障
122,244,824,"F","B","T"
70,244,908,"F","D","T"
27,244,1003,"F","C","F"
98,244,856,"F","D","T"
42,244,661,"F","C","T"
100,244,852,"F","D","T"
53,244,958,"F","A","T"
48,244,660,"F","A","T"
112,244,838,"F","B","T"
108,244,846,"F","A","T"
117,244,831,"F","A","T"
129,244,809,"F","A","T"
124,244,820,"F","C","T"
76,244,903,"F","C","T"
34,244,1003,"F","B","F"
95,244,864,"F","A","T"
4,244,1003,"F","A","F"
101,244,852,"F","D","T"
5,244,1003,"F","B","F"
94,244,866,"F","A","T"
25,244,1003,"F","C","F"
86,244,882,"F","B","T"
123,244,823,"F","D","T"
103,244,851,"F","C","T"
28,244,1003,"F","A","F"
20,244,1003,"F","D","F"
67,244,916,"F","D","T"
21,244,1003,"F","D","F"
19,244,1003,"F","B","F"
109,244,846,"F","C","T"
26,244,1003,"F","C","F"
45,244,659,"F","D","T"
136,244,800,"F","C","T"
68,244,912,"F","B","T"
17,244,1003,"F","A","F"
105,244,849,"F","B","T"
118,244,827,"F","D","T"
2,244,1003,"F","A","F"
72,244,908,"F","D","T"
85,244,882,"F","A","T"
74,244,904,"F","D","T"
35,244,1003,"F","B","F"
115,244,832,"F","C","T"
50,244,966,"F","A","T"
66,244,920,"F","C","T"
41,244,659,"F","C","T"
30,244,1003,"F","C","F"
55,244,952,"F","C","T"
106,244,849,"F","D","T"
93,244,868,"F","D","T"
22,244,1003,"F","A","F"
39,244,660,"F","A","T"
134,244,801,"F","C","T"
81,244,891,"F","A","T"
6,244,1003,"F","C","F"
97,244,859,"F","A","T"
10,244,1003,"F","B","F"
107,244,849,"F","C","T"
57,244,947,"F","B","T"
61,244,933,"F","B","T"
51,244,962,"F","D","T"
114,244,834,"F","D","T"
63,244,928,"F","A","T"
0,244,1003,"F","B","F"
73,244,904,"F","B","T"
113,244,838,"F","D","T"
64,244,924,"F","A","T"
69,244,909,"F","B","T"
12,244,1003,"F","A","F"
11,244,1003,"F","B","F"
71,244,908,"F","C","T"
59,244,939,"F","A","T"
102,244,851,"F","B","T"
52,244,958,"F","B","T"
23,244,1003,"F","B","F"
29,244,1003,"F","B","F"
92,244,870,"F","A","T"
62,244,931,"F","A","T"
32,244,1003,"F","D","F"
89,244,877,"F","D","T"
33,244,1003,"F","A","F"
99,244,854,"F","A","T"
83,244,888,"F","B","T"
116,244,832,"F","D","T"
36,244,1003,"F","C","F"
1,244,1003,"F","C","F"
128,244,812,"F","C","T"
16,244,1003,"F","B","F"
38,244,659,"F","A","T"
54,244,955,"F","B","T"
44,244,658,"F","D","T"
120,244,826,"F","C","T"
111,244,840,"F","B","T"
24,244,1003,"F","B","F"
56,244,948,"F","A","T"
121,244,825,"F","A","T"
96,244,863,"F","A","T"
141,244,786,"F","A","T"
126,244,815,"F","A","T"
131,244,805,"F","B","T"
8,244,1003,"F","A","F"
47,244,660,"F","B","T"
125,244,816,"F","A","T"
40,244,660,"F","B","T"
130,244,809,"F","D","T"
46,244,658,"F","B","T"
58,244,943,"F","A","T"
135,244,800,"F","C","T"
13,244,1003,"F","C","F"
91,244,874,"F","B","T"
43,244,660,"F","C","T"
137,244,799,"F","B","T"
88,244,881,"F","A","T"
82,244,889,"F","B","T"
7,244,1003,"F","B","F"
80,244,891,"F","A","T"
15,244,1003,"F","D","F"
31,244,1003,"F","B","F"
79,244,895,"F","B","T"
78,244,899,"F","B","T"
60,244,937,"F","D","T"
90,244,876,"F","C","T"
3,244,1003,"F","A","F"
127,244,813,"F","D","T"
84,244,886,"F","A","T"
119,244,827,"F","B","T"
77,244,900,"F","A","T"
104,244,849,"F","D","T"
9,244,1003,"F","D","F"
49,244,659,"F","B","T"
75,244,904,"F","B","T"
140,244,789,"F","D","T"
18,244,1003,"F","C","F"
133,244,803,"F","A","T"
139,244,791,"F","C","T"
138,244,795,"F","D","T"
110,244,844,"F","D","T"
65,244,923,"F","C","T"
87,244,881,"F","A","T"
132,244,805,"F","C","T"
37,244,1003,"F","D","F"
14,244,1003,"F","B","F"
131,309,1118,"F","B","T"
143,315,1121,"F","C","T"
67,276,1107,"F","D","T"
18,254,1071,"F","B","F"
100,296,1106,"F","A","T"
6,254,1071,"F","A","F"
60,254,1071,"F","B","F"
79,285,1118,"F","A","T"
106,299,1103,"F","A","T"
51,254,1071,"F","A","F"
0,254,1071,"F","A","F"
24,254,1071,"F","D","F"
54,254,1071,"F","B","F"
129,309,1112,"F","C","T"
33,254,1071,"F","B","F"
4,254,1071,"F","A","F"
10,254,1071,"F","C","F"
74,282,1107,"F","C","T"
133,310,1116,"F","C","T"
110,301,1098,"T","A","T"
96,293,1108,"F","D","T"
63,254,1071,"F","D","F"
30,254,1071,"F","D","F"
123,307,1119,"F","B","T"
41,254,1071,"F","B","F"
147,317,1123,"F","B","T"
43,254,1071,"F","C","F"
82,286,1114,"F","C","T"
39,254,1071,"F","D","F"
164,320,1141,"F","C","T"
159,319,1126,"F","A","T"
8,254,1071,"F","D","F"
1,254,1071,"F","D","F"
81,285,1114,"F","D","T"
162,319,1137,"F","D","T"
12,254,1071,"F","D","F"
153,318,1122,"F","A","T"
165,321,1139,"F","B","T"
25,254,1071,"F","D","F"
38,254,1071,"F","B","F"
101,297,1103,"F","D","T"
104,298,1102,"F","C","T"
3,254,1071,"F","D","F"
155,318,1120,"F","A","T"
71,280,1103,"F","C","T"
59,254,1071,"F","A","F"
28,254,1071,"F","B","F"
52,254,1071,"F","A","F"
140,314,1114,"F","D","T"
128,308,1110,"F","A","T"
16,254,1071,"T","D","F"
91,290,1113,"F","A","T"
126,308,1110,"F","A","T"
139,313,1111,"F","C","T"
32,254,1071,"F","C","F"
92,291,1110,"F","D","T"
57,254,1071,"F","C","F"
134,311,1112,"F","B","T"
150,317,1123,"F","D","T"
103,297,1102,"F","B","T"
77,283,1110,"F","C","T"
144,315,1120,"F","B","T"
86,288,1116,"F","B","T"
154,318,1122,"F","C","T"
148,317,1125,"F","A","T"
26,254,1071,"F","B","F"
160,319,1130,"F","C","T"
15,254,1071,"F","D","F"
90,290,1115,"F","B","T"
72,280,1101,"F","C","T"
46,254,1071,"F","A","F"
127,308,1112,"F","C","T"
62,254,1071,"F","C","F"
11,254,1071,"F","B","F"
48,254,1071,"T","C","F"
2,254,1071,"F","D","F"
138,313,1109,"F","B","T"
69,278,1105,"F","D","T"
142,315,1117,"T","A","T"
98,294,1109,"F","B","T"
156,318,1123,"F","D","T"
130,309,1116,"F","B","T"
152,318,1121,"F","B","T"
7,254,1071,"F","A","F"
78,284,1114,"F","C","T"
119,304,1110,"F","D","T"
112,302,1097,"F","C","T"
84,287,1113,"F","A","T"
76,282,1110,"F","A","T"
47,254,1071,"F","C","F"
31,254,1071,"T","C","F"
42,254,1071,"F","D","F"
141,315,1119,"F","B","T"
49,254,1071,"F","B","F"
113,302,1098,"F","A","T"
137,313,1111,"F","B","T"
158,319,1123,"F","B","T"
145,316,1122,"F","D","T"
121,305,1116,"F","B","T"
95,292,1111,"F","D","T"
9,254,1071,"F","C","F"
73,281,1105,"F","D","T"
125,308,1113,"F","A","T"
65,254,1071,"F","A","F"
20,254,1071,"F","C","F"
151,318,1122,"F","B","T"
161,319,1135,"F","D","T"
94,291,1111,"F","D","T"
116,303,1105,"F","A","T"
149,317,1122,"F","B","T"
132,310,1115,"F","D","T"
89,289,1113,"F","A","T"
35,254,1071,"F","A","F"
109,301,1101,"F","D","T"
27,254,1071,"F","A","F"
