タイムスタンプ,ロットID,idx,温度,振動
2025-02-01 08:20:00,1,1,197.550,0.595
2025-02-01 08:20:10,1,2,198.057,0.431
2025-02-01 08:20:20,1,3,197.724,0.470
2025-02-01 08:20:30,1,4,197.619,0.471
2025-02-01 08:20:40,1,5,198.561,0.460
2025-02-01 08:20:50,1,6,198.246,0.383
2025-02-01 08:21:00,1,7,197.246,0.562
2025-02-01 08:21:10,1,8,199.702,0.508
2025-02-01 08:21:20,1,9,198.523,0.539
2025-02-01 08:21:30,1,10,198.483,0.529
2025-02-01 08:21:40,1,11,198.665,0.486
2025-02-01 08:21:50,1,12,199.204,0.514
2025-02-01 08:22:00,1,13,198.680,0.369
2025-02-01 08:22:10,1,14,197.386,0.458
2025-02-01 08:22:20,1,15,197.170,0.512
2025-02-01 08:22:30,1,16,197.634,0.541
2025-02-01 08:22:40,1,17,197.468,0.589
2025-02-01 08:22:50,1,18,197.633,0.553
2025-02-01 08:23:00,1,19,198.325,0.457
2025-02-01 08:23:10,1,20,196.858,0.455
2025-02-01 08:23:20,1,21,196.912,0.512
2025-02-01 08:23:30,1,22,196.232,0.535
2025-02-01 08:23:40,1,23,197.993,0.447
2025-02-01 08:23:50,1,24,197.670,0.470
2025-02-01 08:24:00,1,25,196.915,0.487
2025-02-01 08:24:10,1,26,199.810,0.488
2025-02-01 08:24:20,1,27,198.182,0.538
2025-02-01 08:24:30,1,28,197.916,0.554
2025-02-01 08:24:40,1,29,197.650,0.402
2025-02-01 08:24:50,1,30,198.885,0.508
2025-02-01 08:25:00,1,31,197.988,0.374
2025-02-01 08:25:10,1,32,198.078,0.396
2025-02-01 08:25:20,1,33,196.995,0.501
2025-02-01 08:25:30,1,34,198.167,0.461
2025-02-01 08:25:40,1,35,198.393,0.465
2025-02-01 08:25:50,1,36,197.509,0.594
2025-02-01 08:26:00,1,37,198.350,0.428
2025-02-01 08:26:10,1,38,198.417,0.437
2025-02-01 08:26:20,1,39,198.979,0.519
2025-02-01 08:26:30,1,40,196.735,0.554
2025-02-01 08:26:40,1,41,198.565,0.494
2025-02-01 08:26:50,1,42,197.652,0.560
2025-02-01 08:27:00,1,43,196.965,0.501
2025-02-01 08:27:10,1,44,198.695,0.504
2025-02-01 08:27:20,1,45,198.417,0.563
2025-02-01 08:27:30,1,46,199.610,0.366
2025-02-01 08:27:40,1,47,198.247,0.406
2025-02-01 08:27:50,1,48,199.417,0.553
2025-02-01 08:28:00,1,49,199.024,0.523
2025-02-01 08:28:10,1,50,198.797,0.544
2025-02-01 08:28:20,1,51,198.484,0.564
2025-02-01 08:28:30,1,52,198.245,0.418
2025-02-01 08:28:40,1,53,198.019,0.500
2025-02-01 08:28:50,1,54,197.648,0.450
2025-02-01 08:29:00,1,55,197.730,0.431
2025-02-01 08:29:10,1,56,197.546,0.474
2025-02-01 08:29:20,1,57,198.267,0.597
2025-02-01 08:29:30,1,58,198.358,0.524
2025-02-01 08:29:40,1,59,198.765,0.530
2025-02-01 08:29:50,1,60,199.044,0.529
2025-02-01 08:30:00,1,61,199.633,0.484
2025-02-01 08:30:10,1,62,197.992,0.432
2025-02-01 08:30:20,1,63,197.995,0.500
2025-02-01 08:30:30,1,64,197.402,0.474
2025-02-01 08:30:40,1,65,198.971,0.469
2025-02-01 08:30:50,1,66,198.523,0.557
2025-02-01 08:31:00,1,67,199.448,0.541
2025-02-01 08:31:10,1,68,198.644,0.482
2025-02-01 08:31:20,1,69,198.030,0.419
2025-02-01 08:31:30,1,70,197.862,0.655
2025-02-01 08:31:40,1,71,198.865,0.600
2025-02-01 08:31:50,1,72,198.110,0.549
2025-02-01 08:32:00,1,73,198.048,0.479
2025-02-01 08:32:10,1,74,199.266,0.513
2025-02-01 08:32:20,1,75,197.607,0.536
2025-02-01 08:32:30,1,76,198.515,0.565
2025-02-01 08:32:40,1,77,199.166,0.472
2025-02-01 08:32:50,1,78,197.571,0.400
2025-02-01 08:33:00,1,79,198.479,0.506
2025-02-01 08:33:10,1,80,197.158,0.554
2025-02-01 08:33:20,1,81,197.767,0.501
2025-02-01 08:33:30,1,82,198.283,0.434
2025-02-01 08:33:40,1,83,196.656,0.521
2025-02-01 08:33:50,1,84,197.648,0.515
2025-02-01 08:34:00,1,85,198.372,0.612
2025-02-01 08:34:10,1,86,197.886,0.446
2025-02-01 08:34:20,1,87,197.595,0.416
2025-02-01 08:34:30,1,88,198.814,0.542
2025-02-01 08:34:40,1,89,198.464,0.410
2025-02-01 08:34:50,1,90,198.956,0.523
2025-02-01 08:35:00,1,91,198.277,0.418
2025-02-01 08:35:10,1,92,197.072,0.480
2025-02-01 08:35:20,1,93,197.475,0.413
2025-02-01 08:35:30,1,94,197.423,0.487
2025-02-01 08:35:40,1,95,197.832,0.434
2025-02-01 08:35:50,1,96,197.814,0.447
2025-02-01 08:36:00,1,97,198.858,0.396
2025-02-01 08:36:10,1,98,199.661,0.490
2025-02-01 08:36:20,1,99,199.160,0.576
2025-02-01 08:36:30,1,100,198.064,0.497
2025-02-01 08:36:40,1,101,198.161,0.590
2025-02-01 08:36:50,1,102,197.690,0.554
2025-02-01 08:37:00,1,103,197.499,0.551
2025-02-01 08:37:10,1,104,198.809,0.508
2025-02-01 08:37:20,1,105,198.190,0.492
2025-02-01 08:37:30,1,106,199.093,0.535
2025-02-01 08:37:40,1,107,198.353,0.502
2025-02-01 08:37:50,1,108,199.205,0.463
2025-02-01 08:38:00,1,109,197.678,0.570
2025-02-01 08:38:10,1,110,198.392,0.566
2025-02-01 08:38:20,1,111,197.367,0.531
2025-02-01 08:38:30,1,112,198.064,0.536
2025-02-01 08:38:40,1,113,197.608,0.459
2025-02-01 08:38:50,1,114,197.992,0.449
2025-02-01 08:39:00,1,115,197.169,0.529
2025-02-01 08:39:10,1,116,197.536,0.464
2025-02-01 08:39:20,1,117,198.230,0.511
2025-02-01 08:39:30,1,118,198.453,0.552
2025-02-01 08:39:40,1,119,198.017,0.399
2025-02-01 08:39:50,1,120,197.165,0.457
2025-02-01 08:40:00,1,121,199.764,0.462
2025-02-01 08:40:10,1,122,198.733,0.653
2025-02-01 08:40:20,1,123,198.761,0.593
2025-02-01 08:40:30,1,124,198.200,0.554
2025-02-01 08:40:40,1,125,198.064,0.496
2025-02-01 08:40:50,1,126,197.940,0.629
2025-02-01 08:41:00,1,127,198.378,0.361
2025-02-01 08:41:10,1,128,197.657,0.622
2025-02-01 08:41:20,1,129,198.815,0.508
2025-02-01 08:41:30,1,130,198.904,0.516
2025-02-01 08:41:40,1,131,197.282,0.561
2025-02-01 08:41:50,1,132,198.382,0.570
2025-02-01 08:42:00,1,133,197.627,0.589
2025-02-01 08:42:10,1,134,198.394,0.633
2025-02-01 08:42:20,1,135,198.624,0.529
2025-02-01 08:42:30,1,136,196.821,0.452
2025-02-01 08:42:40,1,137,196.866,0.431
2025-02-01 08:42:50,1,138,198.419,0.528
2025-02-01 08:43:00,1,139,199.214,0.492
2025-02-01 08:43:10,1,140,198.269,0.441
2025-02-01 08:43:20,1,141,197.597,0.546
2025-02-01 08:43:30,1,142,197.780,0.514
2025-02-01 08:43:40,1,143,198.886,0.525
2025-02-01 08:43:50,1,144,198.223,0.363
2025-02-01 08:44:00,1,145,198.270,0.435
2025-02-01 08:44:10,1,146,199.236,0.510
2025-02-01 08:44:20,1,147,198.475,0.415
2025-02-01 08:44:30,1,148,197.956,0.413
2025-02-01 08:44:40,1,149,197.435,0.547
2025-02-01 08:44:50,1,150,199.292,0.523
2025-02-01 08:45:00,1,151,196.776,0.533
2025-02-01 08:45:10,1,152,197.989,0.351
2025-02-01 08:45:20,1,153,197.944,0.500
2025-02-01 08:45:30,1,154,198.059,0.459
2025-02-01 08:45:40,1,155,199.109,0.454
2025-02-01 08:45:50,1,156,198.676,0.461
2025-02-01 08:46:00,1,157,198.219,0.534
2025-02-01 08:46:10,1,158,197.210,0.498
2025-02-01 08:46:20,1,159,198.422,0.492
2025-02-01 08:46:30,1,160,197.590,0.488
2025-02-01 08:46:40,1,161,199.179,0.483
2025-02-01 08:46:50,1,162,198.138,0.497
2025-02-01 08:47:00,1,163,198.164,0.462
2025-02-01 08:47:10,1,164,197.940,0.469
2025-02-01 08:47:20,1,165,198.220,0.506
2025-02-01 08:47:30,1,166,198.028,0.395
2025-02-01 08:47:40,1,167,199.328,0.417
2025-02-01 08:47:50,1,168,198.239,0.449
2025-02-01 08:48:00,1,169,197.431,0.434
2025-02-01 08:48:10,1,170,198.293,0.427
2025-02-01 08:48:20,1,171,197.774,0.485
2025-02-01 08:48:30,1,172,197.522,0.598
2025-02-01 08:48:40,1,173,198.275,0.578
2025-02-01 08:48:50,1,174,198.875,0.510
2025-02-01 08:49:00,1,175,199.047,0.495
2025-02-01 08:49:10,1,176,196.297,0.486
2025-02-01 08:49:20,1,177,198.627,0.483
2025-02-01 08:49:30,1,178,197.865,0.496
2025-02-01 08:49:40,1,179,199.109,0.567
2025-02-01 08:49:50,1,180,197.220,0.422
2025-02-01 08:50:00,1,181,198.101,0.499
2025-02-01 08:50:10,1,182,198.780,0.399
2025-02-01 08:50:20,1,183,197.835,0.540
2025-02-01 08:50:30,1,184,197.922,0.379
2025-02-01 08:50:40,1,185,197.265,0.562
2025-02-01 08:50:50,1,186,198.102,0.476
2025-02-01 08:51:00,1,187,197.537,0.545
2025-02-01 08:51:10,1,188,196.766,0.628
2025-02-01 08:51:20,1,189,198.174,0.491
2025-02-01 08:51:30,1,190,198.011,0.417
2025-02-01 08:51:40,1,191,197.931,0.491
2025-02-01 08:51:50,1,192,198.121,0.546
2025-02-01 08:52:00,1,193,198.073,0.521
2025-02-01 08:52:10,1,194,198.179,0.621
2025-02-01 08:52:20,1,195,198.423,0.607
2025-02-01 08:52:30,1,196,198.370,0.603
2025-02-01 08:52:40,1,197,198.151,0.528
2025-02-01 08:52:50,1,198,197.606,0.462
2025-02-01 08:53:00,1,199,197.986,0.500
2025-02-01 08:53:10,1,200,198.535,0.401
2025-02-01 08:53:20,1,201,198.126,0.575
2025-02-01 08:53:30,1,202,198.931,0.467
2025-02-01 08:53:40,1,203,197.748,0.512
2025-02-01 08:53:50,1,204,197.742,0.579
2025-02-01 08:54:00,1,205,198.582,0.609
2025-02-01 08:54:10,1,206,199.374,0.556
2025-02-01 08:54:20,1,207,197.837,0.518
2025-02-01 08:54:30,1,208,197.264,0.444
2025-02-01 08:54:40,1,209,197.899,0.576
2025-02-01 08:54:50,1,210,198.214,0.466
2025-02-01 08:55:00,1,211,198.335,0.425
2025-02-01 08:55:10,1,212,198.168,0.476
2025-02-01 08:55:20,1,213,196.934,0.515
2025-02-01 08:55:30,1,214,197.715,0.735
2025-02-01 08:55:40,1,215,197.230,0.391
2025-02-01 08:55:50,1,216,197.975,0.502
2025-02-01 08:56:00,1,217,198.025,0.506
